MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103381,2014,Jesse Creek H.W.M.,Alabama,Bibb,Active,Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining,llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,71758,6,10494,11.181054625664238
103246,2014,Bear Creek,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,Appalachia Southern,40263,17,27476,10.603188212065916
103451,2014,Knight Mine,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242",,Appalachia Southern,100425,21,35560,11.517166459227482
100851,2014,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,2331168,418,1015094,14.661879987492899
102901,2014,Shoal Creek Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers Of America,Appalachia Southern,1803117,503,1073844,14.40502739192699
103180,2014,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,Appalachia Southern,332587,79,192966,12.71465675898791
103182,2014,Fishtrap,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,"Centennial Natural Resources,","3699 Industrial Parkway, Jasper, AL 35501",,Appalachia Southern,375656,73,213383,12.836429109984405
103285,2014,Narley Mine,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"2600 Warrior Jasper Rd, Warrior, AL 35180",,Appalachia Southern,183931,42,99066,12.12231596626104
103332,2014,Powhatan Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Rac Mining Llc,"P.O. Box 354, Lynn, AL 35575",,Appalachia Southern,90389,21,40065,11.411877857560555
103375,2014,Johnson Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,29982,6,10470,10.30835248057226
